,count,mean,min,25%,50%,75%,max,std
idx,2631.0,65672.0703154694,87.0,33878.0,65105.0,97994.0,131529.0,37542.78377483821
start,2631,2025-06-04 06:54:05.854957056,2025-04-12 22:47:49.332000,2025-05-05 04:52:04.814500096,2025-05-30 07:33:09.220000,2025-07-04 19:18:03.228000256,2025-09-01 03:07:17.641000,
end,2631,2025-06-04 07:02:40.508634624,2025-04-12 22:57:12.854000,2025-05-05 05:02:06.885999872,2025-05-30 07:38:21.216999936,2025-07-04 19:24:30.483500032,2025-09-01 03:22:30.453000,
fuel_kg,2631.0,546.1490504142912,0.907184,98.883056,200.0,545.217584,9299.999999999996,859.4444178762179
takeoff,2631,2025-06-04 03:46:30.331053056,2025-04-12 20:04:12,2025-05-04 22:17:09,2025-05-30 05:30:50,2025-07-04 16:58:51,2025-08-31 23:29:32,
landed,2631,2025-06-04 09:45:30.656784128,2025-04-12 23:47:44,2025-05-05 08:54:41.500000,2025-05-30 11:40:09,2025-07-05 02:37:35,2025-09-01 04:04:10,
mtow,2631.0,145077.70106423413,70000.0,78000.0,79000.0,230000.0,560000.0,92373.91795392988
mlw,2631.0,112537.00304066895,58600.0,66000.0,66000.0,182000.0,386000.0,64038.90139427841
oew,2631.0,75738.16347396428,37600.0,42600.0,44300.0,120200.0,277000.0,44904.97883408497
mfc,2631.0,66732.30775370581,24210.0,26000.0,29700.0,139000.0,320000.0,54863.49459532991
vmo,2631.0,358.60164386164956,330.0,340.0,350.0,350.0,515.0,45.19652434782665
mmo,2631.0,0.8435882554161915,0.82,0.82,0.82,0.89,0.92,0.03333326948272167
ceiling,2631.0,12679.920182440137,12500.0,12500.0,12500.0,13100.0,13700.0,283.6363462194095
pax_max,2631.0,274.84522995058916,149.0,180.0,194.0,406.0,853.0,119.94328932333754
pax_low,2631.0,194.34907449638922,110.0,140.0,150.0,225.3775,520.0,70.36511199286612
pax_high,2631.0,229.78081147852527,140.0,170.0,180.0,286.97749999999996,620.0,79.11617463583887
fuselage_length,2631.0,47.171983941467126,33.6,37.57,37.57,58.82,73.86,12.75018886906483
fuselage_height,2631.0,4.770862580767768,3.73,4.14,4.14,5.94,8.41,0.9476889940313775
fuselage_width,2631.0,4.6096672938046375,3.73,3.95,3.95,5.77,7.14,0.9422577844117078
wing_area,2631.0,225.55785765868495,124.0,124.0,124.0,377.0,845.0,141.12642847093912
wing_span,2631.0,45.106893709616116,34.32,35.8,35.8,60.3,79.75,13.058755427597365
wing_mac,2631.0,5.023382147472442,4.17,4.1935,4.29,6.01357999999999,9.68,1.1929901051422782
wing_sweep,2631.0,27.32611250475105,25.0,25.0,25.0,31.9,37.5,3.2692645344592766
wing_t/c,2631.0,0.10513935385784853,0.08,0.09672,0.1088799999999998,0.1091999999999997,0.115,0.0059982454754587385
flaps_area,2631.0,24.72809695069666,21.099999999996754,21.1,21.1,26.85375000000005,78.7,9.104389175855669
flaps_bf/b,2631.0,0.7477440149355009,0.6,0.7380026646464303,0.78,0.78,0.78,0.051527320650101245
flaps_cf/c,2631.0,0.1659458874952489,0.15,0.15,0.176,0.176,0.198,0.012834206782901434
flaps_Sf/S,2631.0,0.16184199733941465,0.15,0.15,0.17,0.17,0.17,0.009655586333541832
cruise_mach,2631.0,0.8029344431774991,0.78,0.78,0.78,0.85,0.85,0.031129023250957465
cruise_range,2631.0,8553.29874572406,3300.0,5000.0,6300.0,14700.0,15000.0,4303.813184631455
drag_cd0,2631.0,0.01894870581527936,0.016,0.017,0.018,0.022,0.024,0.0021735942197322893
drag_k,2631.0,0.04013688521474724,0.038,0.038,0.039,0.042,0.05,0.002193996102340543
drag_e,2631.0,0.7970786773090082,0.765,0.783,0.799,0.807,0.855,0.012387776094110197
drag_gears,2631.0,0.01579799444854408,0.012,0.014,0.017,0.017,0.019,0.0018211157344157072
fuel_fuel_coef,2631.0,3.0912741889421658,2.33357287,2.65942225,2.65942225,3.086355339673145,6.0218489,0.8948089590369106
limits_MTOW,2631.0,145077.70106423413,70000.0,78000.0,79000.0,230000.0,560000.0,92373.91795392988
limits_MLW,2631.0,112537.00304066895,58600.0,66000.0,66000.0,182000.0,386000.0,64038.90139427841
limits_OEW,2631.0,75738.16347396428,37600.0,42600.0,44300.0,120200.0,277000.0,44904.97883408497
limits_MFC,2631.0,66732.30775370581,24210.0,26000.0,29700.0,139000.0,320000.0,54863.49459532991
limits_VMO,2631.0,358.60164386164956,330.0,340.0,350.0,350.0,515.0,45.19652434782665
limits_MMO,2631.0,0.8435882554161915,0.82,0.82,0.82,0.89,0.92,0.03333326948272167
limits_ceiling,2631.0,12679.920182440137,12500.0,12500.0,12500.0,13100.0,13700.0,283.6363462194095
clean_e,2631.0,0.7969999999999984,0.7969999999999984,0.7969999999999984,0.7969999999999984,0.7969999999999984,0.797,5.276252586431686e-17
origin_longitude,2631.0,-32.60847557662521,-123.183998108,-89.055702,-74.1469,12.3519,177.4429931640625,87.220368990852
origin_latitude,2631.0,26.100780972001743,-37.661548,14.5833,31.1434,40.639447,60.318363,20.518351527055547
origin_elevation,2631.0,1403.3937666286583,3.0,18.0,102.0,868.5,8360.0,2466.05379769011
origin_RWY_1_HEADING_a,2631.0,104.2314709236032,1.0,70.0,108.0,135.0,183.0,50.58401148910451
origin_RWY_1_HEADING_b,2631.0,256.1242873432155,0.0,231.0,270.0,314.0,360.0,86.99375520186035
origin_RWY_1_LENGTH,2631.0,3573.110224249335,1919.0,3200.0,3627.0,4000.0,4877.0,543.8205719370727
origin_RWY_2_HEADING_a,2631.0,86.69479285442797,1.0,34.0,83.0,134.0,183.0,54.43851633106652
origin_RWY_2_HEADING_b,2631.0,252.13721018624096,0.0,211.0,250.0,307.0,359.0,72.47374630753512
origin_RWY_2_LENGTH,2631.0,3190.127708095781,1000.0,2987.0,3353.0,3682.0,4500.0,630.8862837913629
origin_RWY_3_HEADING_a,2631.0,98.06499429874573,2.0,58.0,100.0,134.0,183.0,48.09504170382185
origin_RWY_3_HEADING_b,2631.0,264.32497149372864,0.0,232.0,270.0,301.0,360.0,69.26004655781861
origin_RWY_3_LENGTH,2631.0,3219.6202964652225,550.0,3000.0,3201.0,3718.0,4500.0,590.5329878701119
origin_RWY_4_HEADING_a,2631.0,96.43709616115545,1.0,52.0,87.0,151.5,183.0,54.089945297503746
origin_RWY_4_HEADING_b,2631.0,247.91980235651843,0.0,213.0,257.0,308.0,360.0,86.90527616876048
origin_RWY_4_LENGTH,2631.0,3138.9380463702014,1029.0,2721.0,3200.0,3535.0,4500.0,659.7261567224014
origin_RWY_5_HEADING_a,2631.0,102.27670087419233,1.0,64.0,108.0,134.0,183.0,50.864101954037466
origin_RWY_5_HEADING_b,2631.0,256.2219688331433,0.0,231.0,267.0,308.0,360.0,84.72078580611202
origin_RWY_5_LENGTH,2631.0,3468.0376282782213,1524.0,3060.0,3535.0,4000.0,4500.0,655.8451834596519
origin_RWY_6_HEADING_a,2631.0,101.20030406689472,1.0,60.0,108.0,135.0,183.0,50.70792169968539
origin_RWY_6_HEADING_b,2631.0,259.7977955150133,0.0,231.0,269.0,314.0,360.0,80.01966589845033
origin_RWY_6_LENGTH,2631.0,3434.1908019764346,779.0,3050.0,3535.0,4000.0,4500.0,751.2131087004706
origin_RWY_7_HEADING_a,2631.0,104.2314709236032,1.0,70.0,108.0,135.0,183.0,50.58401148910451
origin_RWY_7_HEADING_b,2631.0,256.1242873432155,0.0,231.0,270.0,314.0,360.0,86.99375520186035
origin_RWY_7_LENGTH,2631.0,3531.467502850627,1919.0,3200.0,3535.0,4000.0,4877.0,572.5186934605583
origin_RWY_8_HEADING_a,2631.0,104.2314709236032,1.0,70.0,108.0,135.0,183.0,50.58401148910451
origin_RWY_8_HEADING_b,2631.0,256.1242873432155,0.0,231.0,270.0,314.0,360.0,86.99375520186035
origin_RWY_8_LENGTH,2631.0,3539.9851767388827,1919.0,3200.0,3590.0,4000.0,4877.0,569.5682897268041
destination_longitude,2631.0,-32.297623213892024,-123.183998108,-89.055702,-74.1469,7.14274,177.4429931640625,89.61155057371015
destination_latitude,2631.0,23.278038427442166,-37.661548,13.4409,31.1434,40.639447,60.318363,24.346954623917128
destination_elevation,2631.0,1368.4792854427974,3.0,21.0,127.0,747.0,8360.0,2455.090100227717
destination_RWY_1_HEADING_a,2631.0,102.87913340935006,1.0,70.0,108.0,135.0,183.0,49.601237122834505
destination_RWY_1_HEADING_b,2631.0,259.830102622577,0.0,235.0,270.0,314.0,359.0,81.39252181125455
destination_RWY_1_LENGTH,2631.0,3604.026985936906,1737.0,3200.0,3659.0,3967.0,4877.0,516.3591143893242
destination_RWY_2_HEADING_a,2631.0,81.95286963131889,1.0,34.0,71.0,119.0,183.0,50.81426761346545
destination_RWY_2_HEADING_b,2631.0,252.31508931965033,0.0,211.0,250.0,292.0,359.0,63.71365299768575
destination_RWY_2_LENGTH,2631.0,3130.815659445078,880.0,2684.0,3202.0,3659.0,4500.0,642.9853961155
destination_RWY_3_HEADING_a,2631.0,98.92474344355759,3.0,62.0,108.0,134.0,183.0,45.89707902268272
destination_RWY_3_HEADING_b,2631.0,269.6959331052832,0.0,238.0,275.0,308.0,359.0,61.94874229285858
destination_RWY_3_LENGTH,2631.0,3186.117065754466,550.0,2987.0,3201.0,3535.0,4500.0,569.1182513406415
destination_RWY_4_HEADING_a,2631.0,95.05131128848346,1.0,51.0,87.0,139.0,183.0,53.184820417150824
destination_RWY_4_HEADING_b,2631.0,251.7286202964652,0.0,213.0,263.0,314.0,359.0,81.67893705548539
destination_RWY_4_LENGTH,2631.0,3179.740022805017,1029.0,2721.0,3200.0,3657.0,4500.0,649.4188985317486
destination_RWY_5_HEADING_a,2631.0,100.71417711896618,1.0,62.0,108.0,134.0,183.0,50.02630890044595
destination_RWY_5_HEADING_b,2631.0,259.58076776890914,0.0,231.0,270.0,310.0,359.0,79.15753313509639
destination_RWY_5_LENGTH,2631.0,3499.8422652983654,1524.0,3200.0,3590.0,3967.0,4522.0,620.1437971170067
destination_RWY_6_HEADING_a,2631.0,99.48004561003421,1.0,60.0,108.0,134.0,183.0,49.66978678776108
destination_RWY_6_HEADING_b,2631.0,263.6830102622577,0.0,231.0,270.0,314.0,359.0,73.03809004328234
destination_RWY_6_LENGTH,2631.0,3475.632459141011,779.0,3200.0,3600.0,3967.0,4522.0,700.9269440048193
destination_RWY_7_HEADING_a,2631.0,102.87913340935006,1.0,70.0,108.0,135.0,183.0,49.601237122834505
destination_RWY_7_HEADING_b,2631.0,259.830102622577,0.0,235.0,270.0,314.0,359.0,81.39252181125455
destination_RWY_7_LENGTH,2631.0,3554.670847586469,1737.0,3200.0,3657.0,3967.0,4877.0,555.1473078765575
destination_RWY_8_HEADING_a,2631.0,102.87913340935006,1.0,70.0,108.0,135.0,183.0,49.601237122834505
destination_RWY_8_HEADING_b,2631.0,259.830102622577,0.0,235.0,270.0,314.0,359.0,81.39252181125455
destination_RWY_8_LENGTH,2631.0,3562.620676548841,1737.0,3200.0,3657.0,3967.0,4877.0,551.9773613019
arrival_rwy_heading,2631.0,4.397947548460661,0.0,0.0,0.0,0.0,340.0,32.814157827997754
arrival_rwy_length,2631.0,76.61421512732801,0.0,0.0,0.0,0.0,4500.0,507.6138263885442
departure_rwy_heading,2631.0,2.22690992018244,0.0,0.0,0.0,0.0,315.0,24.852305435648972
departure_rwy_length,2631.0,26.938046370201445,0.0,0.0,0.0,0.0,3939.0,290.5822023324546
starting_altitude,2631.0,32972.97918176053,-374.904,34000.0,36969.5,38000.0,43002.0,9680.073747367045
ending_altitude,2631.0,32850.48170906116,-399.8976,34000.0,36961.5,38000.0,43001.0,9901.651988036527
altitude_difference,2631.0,-122.25117851464636,-30913.0,-7.0,0.0,8.0,29924.9592,4145.362335995075
mean_vertical_rate,2631.0,-13.997169997820407,-3655.9650655021833,-8.671212285195473,0.0,4.440068701042177,3108.033118675253,654.8332582928184
std_vertical_rate,2631.0,136.68561138750098,0.0,1.37261904583271,34.40994761166583,79.64724148611947,6067.414021611408,277.95616862154833
mean_track,2631.0,144.27743652913446,0.0,29.08647503834454,134.37492378816114,232.40548485918137,357.5574642609368,112.13264197547775
std_track,2631.0,5.01728434934404,0.0,0.07431163427989636,0.23457106493765217,1.9112561628339486,179.51243333747786,18.89377989177201
num_trajectory_points,2631.0,409.68795134929684,0.0,2.0,284.0,588.0,6753.0,599.4584910037757
points_per_second,2631.0,0.9974653961024085,0.0,0.006682247492665681,1.1639618727446153,1.930054772385239,2.2691569209286087,0.8771923075683299
takeoff_delta,2631.0,187.59206507031547,-141.80283333333333,65.13636666666667,148.57815,273.21013333333326,902.52085,161.78781740819934
landing_delta,2631.0,162.8358024958824,-133.86496666666667,52.29098333333333,130.06178333333335,240.047375,806.8218833333334,136.57002271829862
segment_duration_s,2631.0,514.6536776890915,4.755,289.365,300.562,600.4749999999999,3599.851,537.4939613384605
segment_distance_km,2631.0,150.03549308212962,0.0,60.77727520392256,71.47016709110284,143.38803425121907,12367.666949744515,496.18204575641573
mean_dist_to_origin_km,2631.0,2629.2345204482663,0.0,893.7799844894935,1971.859531599132,3819.8008678755646,13118.960406356338,2327.791252481628
mean_dist_to_dest_km,2631.0,2257.94435176463,0.0,619.1164154280959,1718.6892668703968,3336.1284276329097,12946.115605866387,2065.422627093662
takeoff_fraction,2631.0,0.002056686805869992,0.0,0.0,0.0,0.0,1.0,0.03629899604216559
climb_fraction,2631.0,0.09500416844724661,0.0,0.0,0.0,0.0,1.0,0.2770005478787155
cruise_fraction,2631.0,0.7541571921576203,0.0,0.502,1.0,1.0,1.0,0.40326704962639137
descent_fraction,2631.0,0.10052641875890851,0.0,0.0,0.0,0.0,1.0,0.2755828344001994
approach_fraction,2631.0,0.003511698359556514,0.0,0.0,0.0,0.0,0.3565217391304348,0.026409599328855872
landing_fraction,2631.0,0.012338998100572181,0.0,0.0,0.0,0.0,1.0,0.09455241444802685
taxiing_fraction,2631.0,0.024423081383908828,0.0,0.0,0.0,0.0,1.0,0.1541481732620545
