,fuel_kg
fuel_kg,1.0
segment_duration_s,0.8104032928797718
pax_high,0.5923299058521259
limits_MTOW,0.590724449608742
mtow,0.590724449608742
limits_MLW,0.5851659601011674
mlw,0.5851659601011674
limits_OEW,0.584460257711819
oew,0.584460257711819
pax_low,0.582256206416963
pax_max,0.5821868311175766
fuselage_length,0.5772897931224122
limits_MFC,0.5753723289073418
mfc,0.5753723289073418
wing_area,0.5734274514087034
fuselage_width,0.5649141357783927
fuselage_height,0.5619554054959396
wing_span,0.5600016211289696
wing_sweep,0.5538703602468229
cruise_mach,0.5497945836017156
limits_MMO,0.548975486188069
mmo,0.548975486188069
ceiling,0.5424988393289787
limits_ceiling,0.5424988393289787
cruise_range,0.5306444116961004
drag_k,0.5293277577395518
wing_mac,0.5262425415104708
drag_cd0,0.5064592901004753
flaps_area,0.43181138878926384
mean_dist_to_dest_km,0.3757876219781718
landing_delta,0.35092573205244604
mean_dist_to_origin_km,0.34890543296618437
takeoff_delta,0.3101891216145278
destination_longitude,0.2930309506997875
origin_longitude,0.25119040649392355
fuel_fuel_coef,0.2142829060961916
segment_distance_km,0.20959074265410402
destination_RWY_4_LENGTH,0.20280509765628335
origin_RWY_2_HEADING_a,0.18548282773987354
origin_RWY_8_LENGTH,0.17817441539878112
origin_RWY_7_LENGTH,0.17410992904889633
ending_altitude,0.17403863455848767
origin_RWY_1_LENGTH,0.16869943734348705
origin_RWY_2_HEADING_b,0.16674899291475204
origin_RWY_2_LENGTH,0.15424029915613519
starting_altitude,0.14948984078156993
origin_RWY_5_LENGTH,0.148891271100348
destination_RWY_8_LENGTH,0.1454718368472584
destination_RWY_7_LENGTH,0.14436084917028172
origin_RWY_6_LENGTH,0.12826096291106592
cruise_fraction,0.1251677882927849
origin_RWY_7_HEADING_a,0.12478021963035188
origin_RWY_8_HEADING_a,0.12478021963035188
origin_RWY_1_HEADING_a,0.12478021963035188
origin_RWY_5_HEADING_a,0.12394304194499074
destination_RWY_5_LENGTH,0.12364426092294255
destination_RWY_1_LENGTH,0.12295946993555988
origin_RWY_4_LENGTH,0.11867811039357293
destination_RWY_4_HEADING_a,0.11306835091303412
origin_RWY_4_HEADING_a,0.10887460072693846
origin_RWY_3_LENGTH,0.10366806857915298
origin_RWY_6_HEADING_a,0.10249460146713422
destination_RWY_2_LENGTH,0.1019899052127705
destination_RWY_2_HEADING_a,0.09907127895464499
destination_RWY_6_LENGTH,0.09893060580738303
destination_RWY_5_HEADING_a,0.09352724761680994
destination_RWY_2_HEADING_b,0.09014034626363622
destination_RWY_8_HEADING_a,0.0788510088659221
destination_RWY_1_HEADING_a,0.0788510088659221
destination_RWY_7_HEADING_a,0.0788510088659221
origin_RWY_6_HEADING_b,0.0728640677221633
altitude_difference,0.06660728685606189
destination_RWY_3_LENGTH,0.0657016564303472
mean_vertical_rate,0.06442581874123379
origin_RWY_3_HEADING_b,0.06292745281807897
origin_RWY_3_HEADING_a,0.05764446348741567
num_trajectory_points,0.05497243475468205
limits_VMO,0.05428598925193193
vmo,0.05428598925193193
destination_RWY_6_HEADING_a,0.05372210398685524
clean_e,0.0430186506596803
origin_RWY_5_HEADING_b,0.04244496351873052
origin_RWY_1_HEADING_b,0.036434259992983886
origin_RWY_8_HEADING_b,0.036434259992983886
origin_RWY_7_HEADING_b,0.036434259992983886
origin_RWY_4_HEADING_b,0.03057503111776917
climb_fraction,0.015032351791678156
destination_RWY_6_HEADING_b,0.010532987646015308
destination_RWY_3_HEADING_b,0.005969158071765518
destination_RWY_3_HEADING_a,-0.0034542763695660714
destination_RWY_4_HEADING_b,-0.006584477534531096
departure_rwy_heading,-0.008898084191007882
departure_rwy_length,-0.00922542534710348
takeoff_fraction,-0.022173794973645928
destination_RWY_5_HEADING_b,-0.023367460210243655
origin_latitude,-0.02796175573606236
destination_RWY_7_HEADING_b,-0.03261879059088465
destination_RWY_1_HEADING_b,-0.03261879059088465
destination_RWY_8_HEADING_b,-0.03261879059088465
approach_fraction,-0.06272452289816896
landing_fraction,-0.06318891220149805
arrival_rwy_heading,-0.06327248835822788
destination_elevation,-0.06701048405011162
std_track,-0.0672043532084666
arrival_rwy_length,-0.0708000229297748
mean_track,-0.07135103344791334
taxiing_fraction,-0.07460829811850568
std_vertical_rate,-0.08348672525122564
idx,-0.10361890574096942
origin_elevation,-0.1250593284026781
descent_fraction,-0.12664799132162172
destination_latitude,-0.15791885881323908
flaps_bf/b,-0.18687713267103628
points_per_second,-0.33075315920156745
drag_e,-0.3730086896924535
flaps_cf/c,-0.4235909331863804
flaps_Sf/S,-0.47440759571386515
drag_gears,-0.49200369481589484
wing_t/c,-0.5333714481410434
