,count,mean,min,25%,50%,75%,max,std
idx,131530.0,65764.5,0.0,32882.25,65764.5,98646.75,131529.0,37969.584790548695
start,131530,2025-06-04 11:40:17.379767040,2025-04-12 21:30:33.782000,2025-05-04 10:22:55.004749824,2025-05-31 03:46:56.578500096,2025-07-05 13:46:58.372499968,2025-09-01 04:20:40.648000,
end,131530,2025-06-04 11:49:09.317795584,2025-04-12 21:58:39.507000,2025-05-04 10:33:21.868000,2025-05-31 03:54:41.477500160,2025-07-05 14:02:29.727500032,2025-09-01 04:22:26.726000,
fuel_kg,131530.0,557.7054841027111,0.453592,99.99999999999432,200.0,599.0,32205.032000000003,883.5580323607841
takeoff,131530,2025-06-04 08:34:23.377282560,2025-04-12 16:15:35,2025-05-04 07:16:44,2025-05-30 23:16:19,2025-07-05 09:28:19,2025-08-31 23:29:32,
landed,131530,2025-06-04 14:31:53.209595392,2025-04-12 22:22:46,2025-05-04 12:51:25,2025-05-31 06:03:56,2025-07-05 16:24:54,2025-09-01 05:58:51,
mtow,131530.0,143824.76526647914,68000.0,79000.0,79000.0,230000.0,560000.0,91135.29976321949
mlw,131530.0,111729.10977343572,57500.0,66000.0,66000.0,182000.0,386000.0,63347.711826707186
oew,131530.0,75180.58910666768,37600.0,42600.0,44300.0,120200.0,277000.0,44383.79493551356
mfc,131530.0,66033.30974454498,24210.0,26000.0,29700.0,139000.0,320000.0,54193.79153246165
vmo,131530.0,359.54387554170154,330.0,340.0,350.0,350.0,515.0,46.54600673897964
mmo,131530.0,0.8433193883524672,0.82,0.82,0.82,0.89,0.92,0.03324226336878212
ceiling,131530.0,12676.585455789555,12500.0,12500.0,12500.0,13100.0,13700.0,280.2711308237717
pax_max,131530.0,273.4373695734813,136.0,189.0,194.0,406.0,853.0,117.98213476270966
pax_low,131530.0,193.25135547023493,107.0,150.0,150.0,220.0,520.0,68.57410110322104
pax_high,131530.0,228.45501497757166,117.0,180.0,180.0,260.0,620.0,77.05785468822893
fuselage_length,131530.0,47.02995966471528,31.44,37.57,37.57,58.82,76.3,12.636861725340696
fuselage_height,131530.0,4.758671333536076,3.73,4.14,4.14,5.94,8.41,0.9342325572062001
fuselage_width,131530.0,4.599109178134267,3.73,3.95,3.95,5.77,7.14,0.9351703682611366
wing_area,131530.0,223.72132614232495,122.4,124.0,124.0,377.0,845.0,139.61302596231477
wing_span,131530.0,44.968640038394284,34.1,35.8,35.8,60.3,79.75,12.979811022196829
