column,missing_count,missing_percentage
origin_RWY_1_HEADING_a,15,0.011404242378164677
origin_RWY_1_HEADING_b,15,0.011404242378164677
origin_RWY_1_LENGTH,15,0.011404242378164677
origin_RWY_2_HEADING_a,15,0.011404242378164677
origin_RWY_2_HEADING_b,15,0.011404242378164677
origin_RWY_2_LENGTH,15,0.011404242378164677
origin_RWY_3_HEADING_a,15,0.011404242378164677
origin_RWY_3_HEADING_b,15,0.011404242378164677
origin_RWY_3_LENGTH,15,0.011404242378164677
origin_RWY_4_HEADING_a,15,0.011404242378164677
origin_RWY_4_HEADING_b,15,0.011404242378164677
origin_RWY_4_LENGTH,15,0.011404242378164677
origin_RWY_5_HEADING_a,15,0.011404242378164677
origin_RWY_5_HEADING_b,15,0.011404242378164677
origin_RWY_5_LENGTH,15,0.011404242378164677
origin_RWY_6_HEADING_a,15,0.011404242378164677
origin_RWY_6_HEADING_b,15,0.011404242378164677
origin_RWY_6_LENGTH,15,0.011404242378164677
origin_RWY_7_HEADING_a,15,0.011404242378164677
origin_RWY_7_HEADING_b,15,0.011404242378164677
origin_RWY_7_LENGTH,15,0.011404242378164677
origin_RWY_8_HEADING_a,15,0.011404242378164677
origin_RWY_8_HEADING_b,15,0.011404242378164677
origin_RWY_8_LENGTH,15,0.011404242378164677
