,fuel_kg
fuel_kg,1.0
segment_duration_s,0.8031142808302504
pax_high,0.5764673438702087
mtow,0.5714143815388533
limits_MTOW,0.5714143815388533
pax_low,0.5675165176216328
limits_MLW,0.5657499181742454
mlw,0.5657499181742454
oew,0.5638015585551028
limits_OEW,0.5638015585551028
pax_max,0.5632662305946222
fuselage_length,0.5620152216946117
mfc,0.5553414735289479
limits_MFC,0.5553414735289479
wing_area,0.5499416196913426
fuselage_width,0.5460235997467469
fuselage_height,0.5405622488467671
wing_span,0.5396316273833115
wing_sweep,0.533770566434103
mmo,0.5304050226531887
limits_MMO,0.5304050226531887
cruise_mach,0.529144195326781
limits_ceiling,0.5262974670220958
ceiling,0.5262974670220958
wing_mac,0.5251182163598169
cruise_range,0.5108796221188283
drag_k,0.5075983029989668
drag_cd0,0.5057297358169393
flaps_area,0.44596200550712867
landing_delta,0.36879917540346946
mean_time_in_air,0.31268203355991137
takeoff_delta,0.29104097239655335
destination_longitude,0.2866239618265149
origin_longitude,0.2669649133305423
segment_distance_km,0.24877375397977455
fuel_fuel_coef,0.20302929128948882
LF2,0.18879297644555787
destination_RWY_4_LENGTH,0.18666823739140243
origin_RWY_2_HEADING_a,0.1778770216680323
ending_altitude,0.17762090516761586
origin_RWY_8_LENGTH,0.17603537552753815
origin_RWY_7_LENGTH,0.17257704926765982
origin_RWY_2_HEADING_b,0.16558570190825186
origin_RWY_1_LENGTH,0.16432621530589858
origin_RWY_2_LENGTH,0.15352294141271128
origin_RWY_5_LENGTH,0.14696873801696772
starting_altitude,0.13728367982313447
destination_RWY_8_LENGTH,0.13707226954234936
destination_RWY_7_LENGTH,0.13361695136435028
cruise_fraction,0.12674269750130962
origin_RWY_8_HEADING_a,0.12503794047548328
origin_RWY_7_HEADING_a,0.12503794047548328
origin_RWY_1_HEADING_a,0.12503794047548328
origin_RWY_5_HEADING_a,0.12358950701575226
origin_RWY_6_LENGTH,0.12298954204928406
destination_RWY_4_HEADING_a,0.11964268216357414
destination_RWY_1_LENGTH,0.11918110950617603
origin_RWY_3_LENGTH,0.11620070884204911
origin_RWY_4_LENGTH,0.11316867050243039
destination_RWY_2_HEADING_a,0.11289457304353163
origin_RWY_4_HEADING_a,0.10921870121765483
destination_RWY_5_LENGTH,0.10886070403630992
origin_RWY_6_HEADING_a,0.09820440304382602
altitude_difference,0.09723444281241936
destination_RWY_2_LENGTH,0.09674612853401238
destination_RWY_5_HEADING_a,0.09586028707146728
origin_RWY_6_HEADING_b,0.08778897707446713
destination_RWY_1_HEADING_a,0.08629403714537563
destination_RWY_7_HEADING_a,0.08629403714537563
destination_RWY_8_HEADING_a,0.08629403714537563
destination_RWY_2_HEADING_b,0.08414507285753196
destination_RWY_6_LENGTH,0.08355330859537932
mean_vertical_rate,0.07676845427614783
origin_RWY_3_HEADING_b,0.06777268144210039
destination_RWY_3_LENGTH,0.06527316481857472
num_trajectory_points,0.062011300412451904
origin_RWY_3_HEADING_a,0.05787212889647763
origin_RWY_5_HEADING_b,0.050427434266524074
destination_RWY_6_HEADING_a,0.049894980409613876
vmo,0.04664550005966954
limits_VMO,0.04664550005966954
clean_e,0.046105767927188644
origin_RWY_7_HEADING_b,0.04558258866108113
origin_RWY_1_HEADING_b,0.04558258866108113
origin_RWY_8_HEADING_b,0.04558258866108113
origin_RWY_4_HEADING_b,0.03665162635592291
climb_fraction,0.018937793134362783
destination_RWY_3_HEADING_a,0.010824892799078566
destination_RWY_6_HEADING_b,-0.001569802526861817
destination_RWY_3_HEADING_b,-0.002440271921413411
taxiing_fraction,-0.012811092901641704
destination_RWY_4_HEADING_b,-0.02714951121762313
LF1,-0.030604870171874694
origin_latitude,-0.031481529842510306
destination_RWY_5_HEADING_b,-0.04218467480191976
std_track,-0.047438650763974265
destination_RWY_1_HEADING_b,-0.05199206036055291
destination_RWY_7_HEADING_b,-0.05199206036055291
destination_RWY_8_HEADING_b,-0.05199206036055291
approach_fraction,-0.05884208128535698
mean_track,-0.06298176181160986
destination_elevation,-0.08146636971686973
std_vertical_rate,-0.09758698820660464
idx,-0.10295540879163895
origin_elevation,-0.12734064016022828
destination_latitude,-0.14132757921359584
descent_fraction,-0.14245625229177267
flaps_bf/b,-0.16434466441071047
points_per_second,-0.34310535343654347
drag_e,-0.39103513273613166
flaps_cf/c,-0.4012535504658356
flaps_Sf/S,-0.4503651900898262
drag_gears,-0.4660772896811306
wing_t/c,-0.5137065245763018
parked_fraction,
takeoff_fraction,
landing_fraction,
